episodio,score,passos,segundos_jogo,bolas_usadas
789,234750,13467,112.22,3
790,204000,13686,114.05,3
791,703750,34278,285.65,3
792,582750,15645,130.37,3
793,628250,24355,202.96,3
794,595750,25645,213.71,3
795,462500,18841,157.01,3
796,260500,15459,128.82,3
797,623500,20946,174.55,3
798,521750,18899,157.49,3
799,206750,14544,121.20,3
800,271000,16156,134.63,3
801,240000,12973,108.11,3
802,193000,17886,149.05,3
803,270000,16798,139.98,3
804,223000,15284,127.37,3
805,1395500,49323,411.02,3
806,1190500,23887,199.06,3
807,1492500,31743,264.52,3
808,201750,14847,123.72,3
809,1705250,35049,292.08,3
810,271750,15954,132.95,3
811,627250,29520,246.00,3
812,394000,17431,145.26,3
813,167750,12711,105.92,3
814,368250,21127,176.06,3
815,384500,20749,172.91,3
816,1570000,42371,353.09,3
817,568250,23456,195.47,3
818,555000,22133,184.44,3
819,356500,25288,210.73,3
820,354750,17361,144.68,3
821,736000,36302,302.52,3
822,276250,13073,108.94,3
823,112250,8967,74.72,3
824,379250,20158,167.98,3
825,323000,11993,99.94,3
826,419500,13278,110.65,3
827,214250,11520,96.00,3
828,2776750,39634,330.28,3
829,585250,23947,199.56,3
830,495250,22091,184.09,3
831,433500,22395,186.62,3
832,216500,12602,105.02,3
833,254500,12170,101.42,3
834,317750,13922,116.02,3
835,1178750,35664,297.20,3
836,338000,16179,134.82,3
837,417000,15380,128.17,3
838,1072750,22311,185.93,3
839,270250,17667,147.23,3
840,277500,17141,142.84,3
841,249500,16095,134.12,3
842,994500,45588,379.90,3
843,535000,19678,163.98,3
844,453250,21430,178.58,3
845,909500,35266,293.88,3
846,356750,15563,129.69,3
847,326000,23819,198.49,3
848,788750,18749,156.24,3
849,626250,28915,240.96,3
850,381000,14893,124.11,3
851,1078250,26066,217.22,3
852,466250,17359,144.66,3
853,246000,15628,130.23,3
854,199500,15488,129.07,3
855,315250,14429,120.24,3
856,282250,12525,104.37,3
857,713000,30537,254.47,3
858,330750,19953,166.27,3
859,204500,13718,114.32,3
860,532250,21743,181.19,3
861,252500,18225,151.88,3
862,205000,12275,102.29,3
863,520750,24787,206.56,3
864,1382500,27613,230.11,3
865,629750,27080,225.67,3
866,1003750,23003,191.69,3
867,133000,9348,77.90,3
868,855750,23092,192.43,3
869,175250,12518,104.32,3
870,1506250,28982,241.52,3
871,262500,16490,137.42,3
872,179000,12985,108.21,3
873,249500,18621,155.18,3
874,1091750,23767,198.06,3
875,363000,20197,168.31,3
